Number of ,Path Cost,Time Taken(ms)
5.0,23469.0,0.33
10.0,40812.0,0.0
15.0,37891.0,0.99
20.0,48812.0,1.02
25.0,58460.0,1.0
30.0,57661.0,2.99
35.0,60096.0,3.99
40.0,55078.0,3.66
45.0,59029.0,5.98
50.0,66664.0,7.97
55.0,72240.0,8.32
60.0,77755.0,11.63
65.0,76916.0,14.63
70.0,79380.0,14.62
75.0,83839.0,19.27
80.0,80749.0,25.6
85.0,84625.0,22.13
90.0,90292.0,31.09
95.0,88262.0,40.88
100.0,93756.0,52.19
105.0,97200.0,55.85
110.0,93048.0,43.21
115.0,104473.0,56.52
120.0,106196.0,69.92
125.0,103583.0,55.37
130.0,101172.0,92.28
135.0,108128.0,73.45
140.0,106077.0,79.97
145.0,110720.0,90.09
150.0,112756.0,151.39
155.0,113170.0,113.88
160.0,124798.0,131.28
165.0,123160.0,163.6
170.0,127834.0,132.18
175.0,121602.0,164.88
180.0,123554.0,158.13
185.0,126829.0,161.27
190.0,123475.0,242.68
195.0,141123.0,216.91
200.0,127628.0,230.32
205.0,136451.0,314.55
210.0,136049.0,238.48
215.0,133068.0,238.72
220.0,143513.0,262.85
225.0,140663.0,362.75
230.0,136933.0,309.08
235.0,143762.0,273.9
240.0,150289.0,414.24
245.0,144263.0,425.26
250.0,150392.0,340.76
255.0,151285.0,380.36
260.0,146257.0,523.77
265.0,153054.0,364.54
270.0,147021.0,508.66
275.0,154769.0,583.74
280.0,162347.0,514.68
285.0,150021.0,513.17
290.0,170228.0,579.18
295.0,158981.0,526.49
300.0,160375.0,641.1
305.0,169124.0,558.71
310.0,162424.0,591.36
315.0,167379.0,770.53
320.0,162100.0,725.3
325.0,174952.0,710.23
330.0,168622.0,761.44
335.0,163309.0,772.78
340.0,172797.0,1134.45
345.0,176957.0,962.79
350.0,167948.0,1151.57
355.0,180716.0,879.57
360.0,176354.0,1193.03
365.0,177091.0,772.32
370.0,176486.0,704.8
375.0,180281.0,1218.35
380.0,186396.0,1168.89
385.0,182379.0,910.61
390.0,188484.0,1215.58
395.0,175548.0,1189.13
400.0,175929.0,1298.49
405.0,192131.0,1028.31
410.0,190804.0,1510.4
415.0,186051.0,1859.42
420.0,186705.0,1743.59
425.0,190811.0,1664.05
430.0,193266.0,1712.33
435.0,195480.0,1209.08
440.0,195696.0,2208.34
445.0,193846.0,1682.97
450.0,189997.0,1677.12
455.0,194166.0,2608.85
460.0,193025.0,2399.36
465.0,211944.0,2524.5
470.0,197506.0,1579.54
475.0,198724.0,1951.26
480.0,201717.0,1910.5
485.0,210343.0,3118.0
490.0,210518.0,2100.27
495.0,202201.0,2583.42
500.0,213664.0,1841.46
