Number of Vertrices,Path Cost,Time Taken(ms)
10.0,1984.0,0.31
20.0,2749.0,1.0
30.0,3298.0,1.99
40.0,3664.0,5.32
50.0,3809.0,6.31
60.0,4203.0,9.0
70.0,4726.0,18.61
80.0,5112.0,20.92
90.0,5227.0,27.26
100.0,5678.0,41.31
110.0,5838.0,50.2
120.0,6105.0,74.92
130.0,6596.0,106.08
140.0,7116.0,100.07
150.0,6825.0,92.7
160.0,7039.0,149.0
170.0,7660.0,116.08
180.0,8226.0,123.34
190.0,7530.0,144.94
200.0,7851.0,207.15
210.0,8174.0,223.36
220.0,7914.0,254.37
230.0,8491.0,309.45
240.0,9175.0,339.98
250.0,9208.0,345.24
260.0,8186.0,353.88
270.0,9623.0,476.36
280.0,9231.0,412.9
290.0,9357.0,404.97
300.0,9345.0,409.34
310.0,9706.0,590.75
320.0,10328.0,661.68
330.0,10280.0,781.19
340.0,9956.0,1215.16
350.0,10338.0,1102.0
360.0,10321.0,1189.54
370.0,10016.0,1030.89
380.0,10755.0,639.41
390.0,10375.0,1364.49
400.0,11308.0,1341.47
410.0,10744.0,1289.4
420.0,11136.0,1126.0
430.0,11674.0,1633.43
440.0,11453.0,1006.65
450.0,11556.0,2104.74
460.0,11445.0,1886.05
470.0,12055.0,1425.89
480.0,11887.0,1628.73
490.0,11963.0,1373.35
500.0,12769.0,1674.17

